ACTIVATION FUNCTION VARIATION
=============================

Activation = ReLU
-----------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.0090563284121185049	0.0093085866852783
1	0.046591307590563957	0.008842813266489483
2	0.0085514594339093364	0.0085799974765767388
3	0.0085063972200367655	0.0085216245499081574
4	0.0088955136469293095	0.008276881177276485
5	0.040334542796297779	0.0085772420347937448
6	0.00755486739033423	0.0074931691432085328
7	0.0078638547795986113	0.0075771944520524256
8	0.0076119954182096716	0.0073164459321006445
9	0.0093195729716066822	0.0073897016478743777
10	0.0087574031814248166	0.0075860220868806481
11	0.0093839216751692156	0.0073792780579306026
12	0.011734933397060665	0.0076070097854026453
13	0.015216925433787054	0.0076482456518623823
14	0.032445927745182956	0.0079935717899911763
15	0.17278619285119134	0.0079186565514190177
16	0.044984419022002342	0.0078873597762949242
17	0.083410167188560536	0.0081228084377896071
18	0.46853445596808285	0.0084994305264750533
19	0.7409363601953487	0.0081518394721046463
20	0.010171098653229294	0.0085416361409903149
21	0.027113126395029497	0.0087109450194645058
22	0.1749356409541214	0.0086093720485738486
23	0.055802417589895903	0.0085384321712888914
24	0.26088480184819218	0.0080183118144784085
25	0.17798058649415793	0.0082224363144253604
26	0.07037343026065912	0.0076898652611551068
27	4.5891124504937864	0.0071675219312428932
28	0.40234136049025437	0.0068490226581990454
29	0.066061907584355595	0.0062136847603422385
30	0.53287682200409847	0.0055324864519361678
31	0.17359519236764953	0.0050169050652505882
32	0.10001689217444998	0.0040265596942773924
33	0.073909099178585791	0.0034594210902690378
34	0.66831216917444891	0.0024218287276444083
35	0.003974526582251503	0.0021284743593666527
36	0.0041420511280882977	0.0016579858050803338
37	0.022833557783924263	0.0014059224459376744
38	0.0011493173022223413	0.00090992822275387335
39	0.023384815030715989	0.00073699085579198359
40	0.0071868667504375594	0.00061580207446266708
41	0.015591900045967499	0.00043968263632815927
42	0.00046853321327056108	0.00039942637024322668
43	0.00021836252628192748	0.00019946974552941763
44	0.00032739191686984026	0.00029600589064230406
45	0.00054277664841417828	0.00030619897721334728
46	0.0001088068591251698	0.00010036662626110448
47	0.00015630756265521545	0.00014758738054243366
48	7.5553418316887978e-05	7.444083548409506e-05
49	0.00011430990987656119	0.00011332878095298602

Activation = Sigmoid
--------------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.024507006836928791	0.024569658689528803
1	0.024776662623338747	0.024774707914863556
2	0.024073862951087384	0.024012219208237772
3	0.022380138486445517	0.022275999041622231
4	0.021648647030395096	0.021505538582653885
5	0.01993755977892353	0.019774096232371474
6	0.018146353339627344	0.017975800318847029
7	0.017153091193117254	0.016973969721189558
8	0.015806710689834073	0.015629469864939662
9	0.014273714001114421	0.014108677003692999
10	0.012356417647248485	0.012214016446253445
11	0.011420305661389421	0.011287059000920877
12	0.010100140295599039	0.0099853305587139143
13	0.0091240207992631488	0.0090212879612685849
14	0.0076640859955471614	0.0075828501468410388
15	0.007179036784647444	0.0071037373302870353
16	0.0060468560989787867	0.0059877291473900548
17	0.0056932089714511538	0.0056383733576829062
18	0.0045253390972341198	0.0044860223527491624
19	0.0041035583884238775	0.0040692640412517472
20	0.0035470218023616468	0.0035192091947037775
21	0.0028540578819634928	0.0028338909570630425
22	0.0026191746074950006	0.0026013536969701346
23	0.0022391474144047626	0.0022250131303059475
24	0.0018466696940912914	0.0018360738201613183
25	0.0015874246690941373	0.0015789630145013125
26	0.0012527728066299149	0.0012468471738982837
27	0.0011106694680166436	0.001105715175508559
28	0.00090994224358122025	0.00090627132339333278
29	0.00078403793156572041	0.00078108901640705508
30	0.00080413765094545109	0.00080110412124627297
31	0.0006155452376512072	0.00061350062359685699
32	0.00068089880531043648	0.00067855141847986979
33	0.00038972647465076874	0.00038869606616614424
34	0.00041352239881792263	0.00041242826009649952
35	0.00027306385246956351	0.00027246590081442821
36	0.00026473334470289694	0.00026416696631094248
37	0.00029348176623112928	0.00029281821221541931
38	0.00028835519602980579	0.0002877356358601677
39	0.00018712772093045752	0.00018679777106057701
40	0.00021149412819511295	0.00021110994057821787
41	0.0002211670313844393	0.00022075555019529337
42	0.00017470034283933631	0.00017441472356368565
43	0.00022665139472149466	0.00022625458310817029
44	0.000118188532905454	0.00011802877622043439
45	6.5691527742490108e-05	6.5621636358285904e-05
46	5.8496368177655413e-05	5.8446531195741991e-05
47	3.0983954025375014e-05	3.0963495637987027e-05
48	9.0428249115330722e-05	9.0338005358178881e-05
49	7.9153891469113894e-05	7.9076598898347229e-05
