LEARNING RATE VARIATION
=======================

Learning rate = 1e-2
--------------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.0001875497013507435	0.00018756829457262713
1	0.00019122657794739124	0.00019124378070322354
2	0.00019054314220827504	0.00019055617174616553
3	0.00018883437205648575	0.00018884084057937836
4	0.00018834423630076439	0.00018835286926373321
5	0.00019406039969243981	0.0001940625615302606
6	0.00019584711810764812	0.00019584787801011134
7	0.00019297978535475068	0.00019297105211586811
8	0.00018639835519760977	0.00018639138685918558
9	0.00018667272726336344	0.000186663262331227
10	0.00019028970941008889	0.00019027063118875443
11	0.00019180133108368373	0.00019178060151242403
12	0.00019159011946798035	0.00019156900279000504
13	0.00019298184368317294	0.00019295232630566465
14	0.00019261013500448357	0.00019257881688464662
15	0.0001947622726981015	0.00019472482646771034
16	0.00019530527838091695	0.00019526530308926638
17	0.00020293052891791612	0.00020288520529996017
18	0.00019360185969216674	0.00019355882657011775
19	0.00019425644325270057	0.00019420646897646236
20	0.00019364270507610479	0.00019359122276440876
21	0.00019627945145796432	0.00019622138737547209
22	0.00020014285328594954	0.00020007700679060031
23	0.0001918642742328854	0.00019180125992749678
24	0.00019152619412789987	0.00019146030215373922
25	0.00019838777725122886	0.00019831368361915394
26	0.0001918369320145866	0.00019176439087752542
27	0.00018903075842948759	0.00018895614491937516
28	0.00019402401886596998	0.0001939434459560877
29	0.00019714592034025748	0.00019705848456589144
30	0.00019189255220723142	0.00019180482957123775
31	0.00019483247622578586	0.00019473710098858002
32	0.00019646692186409519	0.00019636889997523877
33	0.00018810095381368203	0.00018800504263890761
34	0.00019695226991575589	0.00019684528365612253
35	0.00019755649915771873	0.00019744640124470347
36	0.00018966807353329158	0.00018955896195885398
37	0.00019427531343000747	0.00019415924459280061
38	0.00018569779576344249	0.00018559034011254383
39	0.00019338476576948285	0.00019326355673788065
40	0.00019751825504416072	0.00019738850149878375
41	0.00018566461750326905	0.00018554491857881704
42	0.00019061312261838364	0.00019048549913199111
43	0.00018899901299257397	0.00018886681101466235
44	0.00019245552671241003	0.00019232024034077915
45	0.00017915783437193308	0.0001790324896502557
46	0.00019310492104284197	0.0001929609093045835
47	0.00018453071611731654	0.00018439450547531305
48	0.00018288829213072358	0.0001827510795509624
49	0.00018218989931350097	0.00018205068573279163

Learning rate = 1e-3
--------------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.00024605370259583273	0.00024611300633307052
1	0.00023516962977830264	0.0002352194776444812
2	0.00024087231947089006	0.00024091915609936599
3	0.00024038492000420396	0.00024042586744500022
4	0.00024143994096696047	0.00024147551121148677
5	0.00023461400622313774	0.00023464311330510741
6	0.00023391858244472559	0.00023394396730474742
7	0.0002365796127838979	0.00023659932271409253
8	0.00024598154399958744	0.00024599685892913458
9	0.0002346300502099887	0.00023463865434131172
10	0.00023071973644935679	0.00023072447019071522
11	0.0002368737496586476	0.00023687608337353227
12	0.00022938609014067231	0.00022938041445682636
13	0.00023347870141885325	0.00023346785807595903
14	0.00022962674432330552	0.00022961201123718848
15	0.00022921957485651397	0.00022919897601048154
16	0.00022661419558199345	0.00022659077961490688
17	0.00023284138507151581	0.00023281154808555798
18	0.0002335746733387133	0.0002335383452003885
19	0.00022221431241232391	0.00022217707509518191
20	0.0002209983762532569	0.00022095903016739751
21	0.00022315787416177878	0.00022311160652278543
22	0.00022591220767305311	0.00022586115956475119
23	0.00021952938560523892	0.00021947575621992686
24	0.00022503910633507802	0.00022497908903204762
25	0.00022613438124213559	0.00022606816587027656
26	0.00022370565700592125	0.00022363644932702409
27	0.0002227398438904431	0.00022266760386122623
28	0.00022308802574051961	0.00022301060663847171
29	0.00021698277888153702	0.00021690307248575032
30	0.00021484435507343079	0.00021476352458168449
31	0.00021155326077001391	0.00021146847424218272
32	0.00021644543912797392	0.00021635366913525639
33	0.0002181461436817124	0.00021805118442075534
