EMPIRICAL SAMPLE COUNT n VARIATION
==================================

n = 1
-----
Step	NTK metric	Parameter perturbation L2 norm
0	0.026443553550924023	0.026619660701212505
1	0.024501707314983419	0.024600259850061878
2	0.02459049962550108	0.02462782289470089
3	0.024030065874483746	0.024004241426253403
4	0.02311378719332231	0.023038852319729294
5	0.022425227572189118	0.022305942074640286
6	0.020714079527421561	0.020568044369416925
7	0.019159577944359227	0.018998125937889486
8	0.017542488982149895	0.017375510227423376
9	0.01640864984066407	0.016239606184361797
10	0.01423232724548262	0.014082140607699436
11	0.013020591383950638	0.012879821821173207
12	0.012055177112745695	0.011922888894157539
13	0.01095377993870375	0.010833957912744999
14	0.0099080514850246222	0.0098011597308324348
15	0.0086945178667057563	0.0086042290017615854
16	0.0077150490795495335	0.0076380660214874115
17	0.0064793509909225871	0.0064189426652200314
18	0.0056123613009828321	0.0055630879994980325
19	0.0050448839315475778	0.0050026167416836699
20	0.0044688413017683658	0.0044332870062692084
21	0.0036831454097893796	0.0036563635779813747
22	0.0032814531788138541	0.0032589243088988074
23	0.0027656701831142694	0.0027482333826745631
24	0.0024061614285565379	0.0023919762948924092
25	0.0021001931480673199	0.0020886458310227602
26	0.001707514063241212	0.0016990221648155741
27	0.0016870295331612691	0.0016787710637569222
28	0.0011700113138576754	0.001165227987657811
29	0.0010097063983950331	0.0010058518746582543
30	0.00098470899133593624	0.00098105754393128675
31	0.00071184962938958393	0.00070958523965612978
32	0.00058303853180317932	0.00058136703238569629
33	0.00065558563139498077	0.00065363521705363078
34	0.00038035468551705757	0.00037949536529872626
35	0.00034362030502541567	0.00034286555316812343
36	0.00035072692822790929	0.00034998651278952736
37	0.00021707662524751218	0.00021670312175859485
38	0.00020062919396645571	0.00020029657946539118
39	0.00018787131031882114	0.00018757973308473314
40	0.00027222989935591247	0.00027174377620591076
41	0.00020909948429715869	0.00020876730808177908
42	0.00017433400978476748	0.00017409032869064681
43	9.3898185317409246e-05	9.379284864852286e-05
44	5.0495084648021018e-05	5.0453770532701534e-05
45	0.00011249333176251904	0.00011235940004432172
46	7.9744830627758294e-05	7.9669434445778396e-05
47	9.3583145654909305e-05	9.3486201905970993e-05
48	0.00011406441989417801	0.00011393847592644572
49	6.6115131079323543e-05	6.6059232213992459e-05

n = 5
---------------------------------------
Step	NTK metric	Parameter perturbation L2 norm
0	0.02585308326813374	0.025884171011710769
1	0.024654638867596584	0.02463648527771593
2	0.023467071434642744	0.023401842933818202
3	0.021659077379783176	0.021562134832239725
4	0.01974783737771546	0.019631197285480996
5	0.018774381377517274	0.018637750719834593
6	0.017298144546286559	0.017155911195665924
7	0.01539089494159912	0.015256008866993217
8	0.014035247295044184	0.013904361435751184
9	0.012186737205750989	0.012071442987036021
10	0.011003508080595553	0.010898794908080201
11	0.0097233336768825646	0.009630817076983109
12	0.0084118649747009361	0.0083343395260744614
